0x803d30,Name value,Description value,Character Number,Class (support viewer only),Portrait (Zero is Default),Mini Portrait (Zero is Default),Affinity,Units Screen Priority,Level,Base HP,Base Strength,Base Magic,Base Skill,Base Speed,Base Defense,Base Resistance,Base Luck,Constitution Bonus,Sword Level,Lance Level,Axe Level,Bow Level,Staff Level,Anima Level,Light Level,Dark Level,HP Growth,Strength Growth,Magic Growth,Skill Growth,Speed Growth,Defense Growth,Magic Defense Growth,Luck Growth,SkillList Pointer,PersonalSkill,Ability,Character Ability 1,Character Ability 2,Character Ability 3,Character Ability 4,Supports Data Pointer,T1 Class,T1 Palette,T2 Class1,T2 Palette1,T2 Class2,T2 Palette2,T3 Class1,T3 Palette1,T3 Class2,T3 Palette2,T3 Class3,T3 Palette3,T3 Class4,T3 Palette4,EscapeQuoteText ID,***UNKNOWN***,***UNKNOWN*** (Zero),***UNKNOWN*** (Zero),***UNKNOWN*** (Zero),***UNKNOWN1*** (Zero),***UNKNOWN2*** (Zero),***UNKNOWN3*** (Zero),***UNKNOWN4*** (Zero),***UNKNOWN5*** (Zero)
0x39,0x267,0x0,0x39,0x41,0x0,0x0,0,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,50,0,10,10,10,15,30,0,0x0,NoAbility,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,HouseText,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0x3A,0x267,0x0,0x3a,0x41,0x0,0x0,0,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,50,0,10,10,10,15,30,0,0x0,NoAbility,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,HouseText,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
LyonSummon,0x2f1,0x33d,0x3b,0x7,0x0,0x7,5,0x25,1,0,3,0,2,3,0,0,20,0,0,0,71,0,0,0,0,0,0,60,0,45,30,0,0,60,0,0x0,NoAbility,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,HouseText,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0x3C,0x26d,0x32e,0x3c,0x31,0x0,0x0,0,0x0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,71,50,30,0,35,32,8,40,45,0,0x0,NoAbility,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,HouseText,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0x3D,0x26c,0x32e,0x3d,0x31,0x0,0x0,0,0x0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,71,50,30,0,35,32,8,40,45,0,0x0,NoAbility,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,HouseText,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
KnollSummon,0x2f1,0x33d,0x3e,0x7,0x0,0x7,5,0x21,1,0,2,0,1,2,0,0,10,0,0,0,71,0,0,0,0,0,0,50,0,50,40,0,0,55,0,0x0,NoAbility,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,HouseText,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
EvanSummon,0x2f1,0x33d,0x3f,0x7,0x0,0x7,5,0x1a,1,0,1,0,2,1,0,0,0,0,0,0,71,0,0,0,0,0,0,70,0,40,20,0,0,40,0,0x0,NoAbility,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,HouseText,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Lyon_Ch17,0x2f1,0x29b,0x40,0x7,0x0,0x0,4,0x0,3,15,13,0,9,6,5,2,4,0,31,0,0,0,0,0,0,0,60,45,0,55,55,25,5,25,0,0x0,NoAbility,0x0,0x80,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,HouseText,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Morva_Ch20,0x251,0x29b,0x41,0x7,0x0,0x6,3,0x0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,20,0,30,35,15,15,25,0,0x0,NoAbility,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,HouseText,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Orson_Ch5x,0x236,0x291,0x42,0x7,0x45,0x0,5,0x0,3,11,8,3,9,4,5,4,4,1,181,181,0,0,0,0,0,0,80,55,10,45,40,45,30,25,0,0x0,NoAbility,0x0,0x80,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,HouseText,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Valter_Ch15,0x237,0x292,0x43,0x23,0x42,0x0,4,0x0,13,25,12,2,10,9,6,11,3,1,0,251,0,0,0,0,0,0,80,40,5,55,50,20,20,15,0,0x0,NoAbility,0x0,0x80,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,HouseText,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Selena_Ch10B_and_13B,0x238,0x293,0x44,0x2a,0x3f,0x0,2,0x0,11,19,10,10,8,10,8,11,10,0,0,0,0,0,121,181,0,0,85,40,40,55,40,20,30,25,0,0x0,NoAbility,0x0,0xc0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,HouseText,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Valter_Prologue,0x237,0x292,0x45,0x23,0x42,0x0,4,0x0,5,14,6,2,7,6,3,5,2,1,0,181,0,0,0,0,0,0,85,50,5,10,10,10,15,30,0,0x0,NoAbility,0x0,0x80,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,HouseText,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Breguet,0x239,0x294,0x46,0x9,0x31,0x0,2,0x0,4,3,3,0,0,1,0,0,2,0,0,71,0,0,0,0,0,0,85,50,5,10,10,10,15,30,0,CounterMagicID,NoAbility,0x0,0x80,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,HouseText,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Turner,TurnerName,0x29b,0x47,Mercenary,TurnerPortrait,0x0,4,0x0,3,10,6,2,7,3,3,4,4,0,31,0,0,0,0,0,0,0,60,45,0,55,55,25,5,25,0,0x0,NoAbility,0x0,0x80,0x0,0x0,0x0,Mercenary,0x3,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,HouseText,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Bazba,0x251,SellswordDesc,0x48,Mercenary,0x0,0x6,3,0x0,1,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,60,20,0,30,35,15,15,25,0,0x0,NoAbility,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,HouseText,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Entombed_boss,0x251,SellswordDesc,0x49,Mercenary,0x0,0x6,7,0x0,1,4,3,0,4,0,1,2,2,0,31,0,0,0,0,0,0,0,85,50,5,10,10,10,15,30,0,0x0,NoAbility,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,HouseText,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Saar,0x251,SellswordDesc,0x4a,Mercenary,0x0,0x6,1,0x0,1,5,2,0,5,3,2,0,1,0,31,0,0,0,0,0,0,0,85,50,50,10,10,10,15,30,0,0x0,NoAbility,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,HouseText,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Novala,0x24d,0x2b1,0x4b,Soldier,0x0,0x2,5,0x0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,50,5,10,10,10,15,30,0,0x0,NoAbility,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,HouseText,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Murray,0x24d,0x2b1,0x4c,Soldier,0x0,0x2,6,0x0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,50,5,10,10,10,15,30,0,0x0,NoAbility,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,HouseText,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Aiden,AidenName,AidenDesc,0x4d,Myrmidon_F,AidenPortrait,0x0,7,0x0,5,8,7,4,10,5,3,5,7,0,71,0,0,0,0,0,0,0,85,50,15,10,10,10,15,30,0,0x0,NoAbility,0x0,0xc0,0x0,0x0,0x0,Myrmidon_F,0x6,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,HouseText,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Binks,CoramoName,CoramoDesc,0x4e,0x40,0x0,0x3,5,0x0,4,3,2,3,3,2,1,2,3,0,0,0,0,0,0,0,0,0,60,50,50,10,10,10,15,30,0,0x0,NoAbility,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,HouseText,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Pablo,CoramoName,CoramoDesc,0x4f,0x27,0x0,0x3,4,0x0,4,3,2,3,3,2,1,2,3,0,0,0,0,0,0,0,0,0,60,50,50,25,35,15,15,30,0,0x0,NoAbility,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,HouseText,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Maelduin_boss,0x255,0x2b1,0x50,0x5e,0x0,0x4,5,0x0,9,15,6,2,6,2,4,8,0,0,0,0,0,0,0,0,0,0,85,50,10,10,10,10,15,30,0,0x0,NoAbility,0x0,0x80,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,HouseText,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Aias,0x242,0x29d,0x51,0x35,0x3b,0x0,7,0x0,10,25,10,2,7,4,8,9,11,1,181,121,121,0,0,0,0,0,85,50,5,35,35,25,15,30,0,SavageBlowID,NoAbility,0x0,0x80,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,HouseText,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Carlyle,0x243,0x29e,0x52,0x15,0x3c,0x0,1,0x0,11,20,6,5,6,8,4,8,8,0,181,0,0,0,0,0,0,0,85,65,30,10,10,20,20,30,0,SealSpdID,NoAbility,0x0,0x80,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,HouseText,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Caellach,0x244,0x29f,0x53,0x11,0x43,0x0,2,0x0,12,25,13,3,5,3,7,11,14,2,181,0,251,0,0,0,0,0,85,50,5,45,45,30,20,20,0,0x0,NoAbility,0x0,0x80,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,HouseText,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Pablo_2,0x241,0x29c,0x54,0x27,0x3a,0x0,4,0x0,7,14,8,8,5,8,2,12,9,0,0,0,0,0,71,121,71,0,85,50,50,10,10,10,15,30,0,0x0,NoAbility,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,HouseText,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0x55,0x267,0x0,0x55,0x41,0x0,0x3,0,0x0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,50,0,10,10,10,15,30,0,0x0,NoAbility,0x0,0x80,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,HouseText,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Gorgon_boss,0x255,0x2b1,0x56,0x61,0x0,0x4,5,0x0,15,25,10,10,11,7,5,12,3,0,0,0,0,0,0,0,0,181,85,65,65,20,40,15,40,30,0,0x0,NoAbility,0x0,0x80,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,HouseText,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Riev,0x246,0x2a0,0x57,0x2b,0x48,0x0,5,0x0,16,28,10,10,17,15,13,10,9,0,0,0,0,0,181,0,251,0,75,45,45,50,40,20,45,15,0,0x0,NoAbility,0x0,0x80,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,HouseText,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0x58,0x267,0x0,0x58,0x41,0x0,0x3,0,0x0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,50,0,10,10,10,15,30,0,0x0,NoAbility,0x0,0x80,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,HouseText,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0x59,0x267,0x0,0x59,0x41,0x0,0x3,0,0x0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,50,0,10,10,10,15,30,0,0x0,NoAbility,0x0,0x80,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,HouseText,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Gheb,0x247,0x2a1,0x5a,0x40,0x3d,0x0,2,0x0,5,17,10,2,3,0,8,5,1,3,0,0,181,31,0,0,0,0,85,50,5,10,10,10,15,30,0,VantageID,NoAbility,0x0,0x80,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,HouseText,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Beran,0x248,0x2a2,0x5b,0x1d,0x3e,0x0,4,0x0,7,22,8,3,7,7,8,9,6,0,121,0,0,181,0,0,0,0,85,50,15,35,35,25,15,30,0,ImpaleID,NoAbility,0x0,0x80,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,HouseText,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Cyclops_boss,0x255,0x2b1,0x5c,0x5a,0x0,0x4,5,0x0,9,18,7,2,3,3,2,10,0,0,0,0,0,0,0,0,0,0,85,50,5,35,35,25,15,30,0,ColossusID,NoAbility,0x0,0x80,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,HouseText,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Wight_boss,0x255,0x2b1,0x5d,0x56,0x0,0x4,5,0x0,8,15,5,2,10,7,4,7,1,0,0,0,0,0,0,0,0,0,85,50,5,10,10,10,15,30,0,0x0,NoAbility,0x0,0x80,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,HouseText,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Deathgoyle_boss,0x255,0x2b1,0x5e,0x64,0x0,0x4,5,0x0,8,14,5,3,9,6,4,4,0,0,0,0,0,0,0,0,0,0,85,50,5,10,10,10,15,30,0,0x0,NoAbility,0x0,0x80,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,HouseText,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0x5F,0x255,0x2b1,0x5f,0x53,0x0,0x4,5,0x0,1,7,2,3,2,1,2,2,1,0,0,0,0,0,0,0,0,0,85,50,5,35,35,15,15,30,0,0x0,NoAbility,0x0,0x80,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,HouseText,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0x60,0x267,0x0,0x60,0x41,0x0,0x3,0,0x0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,50,0,10,10,10,15,30,0,0x0,NoAbility,0x0,0x80,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,HouseText,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0x61,0x267,0x0,0x61,0x41,0x0,0x3,0,0x0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,50,0,10,10,10,15,30,0,0x0,NoAbility,0x0,0x80,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,HouseText,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0x62,0x267,0x0,0x62,0x41,0x0,0x3,0,0x0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,50,0,10,10,10,15,30,0,0x0,NoAbility,0x0,0x80,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,HouseText,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0x63,0x267,0x0,0x63,0x41,0x0,0x3,0,0x0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,50,0,10,10,10,15,30,0,0x0,NoAbility,0x0,0x80,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,HouseText,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0x64,0x250,0x2ac,0x64,0xd,0x0,0x6,0,0x0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,50,10,10,10,10,15,30,0,0x0,NoAbility,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,HouseText,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0x65,0x24f,0x2ad,0x65,0x41,0x0,0x6,0,0x0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,20,0,30,35,15,15,25,0,0x0,NoAbility,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,HouseText,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Bandit,0x24f,0x2ad,0x66,0x41,0x4c,0x6,2,0x0,1,2,2,0,2,2,2,2,2,0,0,0,0,0,0,0,0,0,60,20,0,30,35,15,15,25,0,0x0,NoAbility,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,HouseText,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0x67,0x24f,0x2ad,0x67,0x41,0x4d,0x6,0,0x0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,20,0,30,35,15,15,25,0,0x0,NoAbility,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,HouseText,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
ONeill,0x249,0x2a3,0x68,0x3f,0x30,0x0,1,0x0,4,3,1,0,2,3,0,0,0,0,0,0,71,0,0,0,0,0,85,50,5,10,10,10,15,30,0,QuickRiposteID,NoAbility,0x0,0x80,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,HouseText,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Glen,0x24a,0x2a4,0x69,0x21,0x4b,0x0,3,0x0,12,21,11,0,12,6,8,4,7,1,121,181,0,0,0,0,0,0,85,50,0,10,10,10,15,30,0,0x0,NoAbility,0x0,0x80,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,HouseText,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Zonta,0x24b,0x2a5,0x6a,0xf,0x35,0x0,6,0x0,8,7,5,1,0,1,2,6,4,0,71,0,0,0,0,0,0,0,85,50,5,10,10,10,15,30,0,0x0,NoAbility,0x0,0x80,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,HouseText,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Vigarde,0x24c,0x2a6,0x6b,0xb,0x40,0x0,7,0x0,13,31,13,5,10,8,7,9,9,2,181,251,181,0,0,0,0,0,85,50,15,10,10,10,15,30,0,RenewalID,NoAbility,0x0,0x80,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,HouseText,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Lyon_Final,0x234,0x2a7,0x6c,0x4f,0x4a,0x0,4,0x0,18,55,20,20,15,10,23,21,9,0,0,0,0,0,181,0,0,251,60,20,20,30,35,15,15,25,0,0x0,NoAbility,0x0,0x80,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,HouseText,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Orson_Boss,0x236,0x2a8,0x6d,0x7,0x44,0x0,5,0x0,13,25,11,3,11,7,6,8,6,1,181,181,0,0,0,0,0,0,60,20,5,30,35,15,15,25,0,0x0,NoAbility,0x0,0x80,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,HouseText,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0x6E,0x267,0x0,0x6e,0x41,0x0,0x0,0,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,20,0,30,35,15,15,25,0,0x0,NoAbility,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,HouseText,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0x6F,0x267,0x0,0x6f,0x41,0x0,0x0,0,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,20,0,30,35,15,15,25,0,0x0,NoAbility,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,HouseText,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0x70,0x267,0x0,0x70,0x41,0x0,0x0,0,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,20,0,30,35,15,15,25,0,0x0,NoAbility,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,HouseText,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0x71,0x267,0x0,0x71,0x41,0x0,0x0,0,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,20,0,30,35,15,15,25,0,0x0,NoAbility,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,HouseText,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0x72,0x267,0x0,0x72,0x41,0x0,0x0,0,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,20,0,30,35,15,15,25,0,0x0,NoAbility,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,HouseText,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0x73,0x267,0x0,0x73,0x41,0x0,0x0,0,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,20,0,30,35,15,15,25,0,0x0,NoAbility,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,HouseText,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0x74,0x267,0x0,0x74,0x41,0x0,0x0,0,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,20,0,30,35,15,15,25,0,0x0,NoAbility,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,HouseText,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0x75,0x267,0x0,0x75,0x41,0x0,0x0,0,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,20,0,30,35,15,15,25,0,0x0,NoAbility,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,HouseText,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
